date,info by,author_name,author_location,type of review,title,rated,time_posted,paragraph,date_of_experience,reply_author,reply_date,reply_paragraph,review_sentiment,reply_sentiment
2024-09-12 19:30:08,Info for Stephanie,Stephanie,US,Verified,After 10 weeks Hot flashes are gone,5.0,2024-03-30T19:24:17.000Z,After 10 weeks Hot flashes are gone. Joint aches are gone. Happy to see improvements in menopause symptoms in such a short period of time. This has been a game changer for me!,29 March 2024,Reply from By Winona,2024-04-01T13:05:18.000Z,"We love to hear that you are winning too, Stephanie!The rules of the menopause game are inconsistent, confusing, and unfair. What works for one women may not work for another. We provide many different options and delivery methods for our bioidentical HRT so you can get back in game and find relief!We are happy to hear that you are feeling better!",0.11000000000000001,0.12045454545454545
2024-09-12 19:30:10,Info for Paula,Paula,US,Verified,WHEN will it start working?,2.0,2024-03-27T16:49:13.000Z,"It's been 10 weeks, I've seen NOTHING change",27 March 2024,Reply from By Winona,2024-03-28T13:17:43.000Z,"We are sorry, Paula, that you are not progressing as fast as you had hoped :(Just as your menopause symptoms started over time, so too, will your relief.  There are some lucky women who experience positive changes right away, but that is not the norm. This is why we ask you to check in with your doctor after a certain amount of time in case adjustments need to be made in your treatment plan. Also keep in mind, that just as each woman is not cut from the same cloth, nor will her HRT treatment plan be.  We know it is hard to not compare our own journey with those of other women though!We see that you just completed your 10 week Follow Up with your Winona doctor, and your prescriptions have been adjusted. Please don't give up.....your Winona doctor is happy to work with you for as long as it takes to get relief!",0.0,0.07164918414918414
2024-09-12 19:30:10,Info for Tracy,Tracy,US,Verified,dramatic improvements,5.0,2024-03-25T02:38:49.000Z,There have been dramatic improvements in my first 10 weeks.  No more joint pain or hot flashes.  Brain fog has decreased as have the night sweats.  If we can just get the weight to respond in the right direction I’ll be ecstatic!!,24 March 2024,Reply from By Winona,2024-03-25T12:26:01.000Z,"We often don't know how bad we feel until we start to feel better, Tracy!The changes that our bodies go through during the menopause transition sometimes creep up on us until we forget the person we used to be.   We start to accept the joint pain, inflammation, and brain fog as just part of growing older.When you give your body the HRT that it is craving, it can feel like a dramatic and welcome return to normalcy.  We are so happy to hear that you are feeling better!",-0.02281746031746033,0.2652777777777778
2024-09-12 19:30:21,Info for Jaclyn,Jaclyn,US,Verified,Medication was not effective,3.0,2024-02-26T02:46:35.000Z,"Medication was not effective. The service was fast and responsive, but I did not experience any improvements after 10 weeks of treatment. I think Winona's emphasis on weight loss in the advertising is disingenuous.",25 February 2024,Reply from By Winona,2024-02-26T13:30:28.000Z,"We are so sorry, Jaclyn, that you did not progress as fast you had hoped with your HRT!It can definitely take 3 months or so to start to see positive changes, as your body needs times to adjust to the influx of hormones. We know it is hard to be patient.We ask you to complete the 10 week Follow Up for the is reason, as the doctor can discuss a dosage change at that time. Most women see some improvement within the first few weeks, but other things like weight loss, can take extended time.  While HRT can be helpful, it's important to note that there is no magic pill, and you will still need to make lifestyle changes such as diet and exercise to achieve your desired results. However, many patients have had success in losing weight while taking HRT!A member of our Patient Care Team has emailed you for further support!",-0.04999999999999999,0.06941287878787879
2024-09-12 19:30:22,Info for Laura,Laura,US,Verified,"Progress is hopeful, and I feel cared for.",4.0,2024-02-27T14:11:03.000Z,"I am currently 10 weeks in use of this product and all though I have not seen the results I had hoped for, the Doctor and patient care representatives have been amazing in discussing my progress and how to possibly adjust dosage to see and feel the needed results moving forward.  The attention to the customer and their needs is amazing and I hope the next time I rate my experience it will be a full 5 stars!  A special thanks to Dr. Green and Tonya Fike for going above and beyond in my care.",21 February 2024,Reply from By Winona,2024-02-23T12:52:15.000Z,"We are sorry that you do not feel better yet, Laura!HRT works best if taken consistently every day over time, so that is why we send your refills to you automatically.  The refills are timed to arrive before your existing supply of medication runs out.  We never want you to be without your medication so you can get the best results!It can also take around 3 months to see the changes you are looking for as your body adjusts to the influx of hormones.   We know it is hard to be patient!A member of our Patient Care team has emailed you for further support ;)",0.19946428571428576,0.27604166666666663
2024-09-12 19:30:34,Info for Tammi Dyer,Tammi Dyer,US,Verified,Since taking Winona for 10 weeks,5.0,2024-01-16T17:19:11.000Z,"Since taking Winona for 10 weeks, my hot flashes have disappeared. I am sleeping a lot better and have more energy which helps with my workouts and overall productivity! Also, night sweats have decreased quite a bit. I am very happy so far.",16 January 2024,Reply from By Winona,2024-01-16T19:48:23.000Z,We are so happy to hear you have experienced such great results so far!We appreciate you taking the time to share your feedback. :),0.2785714285714286,0.5800000000000001
2024-09-12 19:30:35,Info for Tracy Gaynor,Tracy Gaynor,US,Verified,Hormones and happiness So far my experience has been amazing,5.0,2024-01-12T05:01:54.000Z,"So far my experience has been amazing. So easy and professional, 10 weeks in and I feel stronger am sleeping better and my mood is better. If that all continues I will be a very happy woman.",01 November 2023,Reply from By Winona,2024-01-12T13:47:03.000Z,"""Amazing"" is what we want to hear, Tracy!  Thank you so much for the 5 star review!  Our goal at Winona is always provide women with safe, convenient, and effective HRT.  We are hopeful that you will continue to feel even better past the 10 week mark!  Keep at it!",0.46190476190476193,0.36822916666666666
2024-09-12 19:30:43,Info for Kasaundra,Kasaundra,US,Verified,I'm actually very impressed with this…,5.0,2023-12-22T20:58:56.000Z,"I'm actually very impressed with this company. It's very seemless to get prescribed bioidentical HRT. I've been on estrogen, progesterone and DHEA for 10 weeks and not only do I feel much better, but I feel like I've aged backwards. I was starting to get jowls (at the age of 37!) After taking the meds for a few months, they went away! So awesome.",07 December 2023,Reply from By Winona,2023-12-12T00:29:44.000Z,"Thanks so much, Kasaundra!  We appreciate your kind words as we strive to provide safe, affordable, and effective HRT so that you don't have to suffer with menopause symptoms!  And who doesn't like looking and feeling younger?!  Another plus to HRT!",0.29374999999999996,0.3833333333333333
2024-09-12 19:30:47,Info for Karina,Karina,US,Verified,The first couple of weeks I was…,5.0,2023-11-24T01:04:16.000Z,"The first couple of weeks I was skeptical, I did have hot flashes and were uncomfortable at night.I am about 10 weeks and and I feel amazing, I sleep through most nights, hot flashes are completely gone and I am loosing a little weight.I feel great !",23 November 2023,,,,0.17625000000000002,0.0
2024-09-12 19:30:50,Info for Laura,Laura,US,Verified,I have had a great experience with consistent symptom improvement.,5.0,2023-11-14T17:13:00.000Z,"I have had a great experience with Winona’s doctor, website and the medication I’ve received. My symptoms are steadily improving and although I have I only been taking the HRT for 10 weeks, I haven’t had any stumbling blocks and I do believe I’ll only be feeling better and better as the coming weeks go by. I’m extremely happy with my decision to try Winona!  It’s a game changer.",14 November 2023,,,,0.32083333333333336,0.0
2024-09-12 19:30:52,Info for customer,customer,US,Verified,So far I am happy with the service,4.0,2023-11-09T20:31:19.000Z,"So far I am happy with the service.  My only complaint is not getting notifications on messages, but other than that all is well.  I just finished my 10 weeks and am looking forward to some more changes.",09 November 2023,,,,0.1625,0.0
2024-09-12 19:30:53,Info for Theresa Johnson,Theresa Johnson,US,Verified,It’s been an easy experience and definitely worthwhile!,5.0,2023-11-07T02:51:03.000Z,It’s been an easy experience!  10 weeks in and HRT has made a huge difference in my overall wellbeing! I felt the difference within the first week! I’m grateful to have found Winona!!,31 August 2023,Reply from By Winona,2023-12-12T17:16:35.000Z,We are happy to hear that you began seeing results so quickly and we are grateful to be able to help you on this journey! :),0.35748697916666666,0.5645833333333333
2024-09-12 19:30:55,Info for Robin MacKinnon,Robin MacKinnon,US,Verified,Just wow!!,5.0,2023-09-18T20:22:52.000Z,"Getting signed up and sent my prescriptions was effortless. In 3 short weeks, my hot flashes, brain fog and irritation has gone down substantially. It says that it takes 10 weeks to really feel it. If that’s the case, I truly recommend that anyone dealing with the trials and tribulations of peri menopause and menopause jump on it and give Winona a shot! Total game changer for about $25 a week!",18 September 2023,,,,-0.025925925925925925,0.0
2024-09-12 19:30:58,Info for Cathy Romash,Cathy Romash,US,,Thank you Winona!!! 😊,5.0,2023-09-06T22:46:58.000Z,Winona is amazing! I was really suffering with menopause and was so tired of doctors not wanting to help me. Dr. Green answers all my questions and even checked back with me to see how I was feeling. He’s great and I can’t say thank you enough! I would highly recommend Winona for any needing help with menopause. The website is great and resourceful also!,06 September 2023,,,,0.28600000000000003,0.0
2024-09-12 19:30:59,Info for margo karipides,margo karipides,US,Verified,The ease of signing up- accessibility…,5.0,2023-08-25T18:08:58.000Z,"The ease of signing up- accessibility to information and the professional manner in which the Dr and customer service team work. I am at 10 weeks, many of my symptoms have either improved or gone away. The 2 I’m still struggling with are being addressed with an adjustment to the Rx at this 10 week check in. I can not recommend Winona highly enough ! Kudos!",22 August 2023,,,,0.19999999999999998,0.0
2024-09-12 19:31:02,Info for Tracy Moore,Tracy Moore,US,Verified,I have been using HRT with Winona for…,5.0,2023-08-16T17:39:22.000Z,"I have been using HRT with Winona for about 10 weeks, and I feel great. I immediately noticed improvements on my sleep- no longer getting up multiple times at night to go to the bathroom.",08 August 2023,,,,0.4,0.0
2024-09-12 19:31:05,Info for Kris LInk,Kris LInk,US,Verified,I love what Winona has done for me…,5.0,2023-07-24T02:50:22.000Z,I love what Winona has done for me because the Dr listened to me!  She adjusted meds as I needed throughout my first 10 weeks to where I feel good and comfortable.  My hot flashes are almost nonexistent!  I can’t wait to see how things improve in the next 3 months,23 July 2023,,,,0.38125000000000003,0.0
2024-09-12 19:31:05,Info for Mary W,Mary W,US,Verified,I am sleeping so much better and my hot…,5.0,2023-07-24T00:52:56.000Z,I am sleeping so much better and my hot flashes have decreased after only 10 weeks.,23 July 2023,,,,0.0875,0.0
2024-09-12 19:31:06,Info for Jaclyn M.,Jaclyn M.,US,Verified,"If you're on the fence, do it!",5.0,2023-07-13T18:39:15.000Z,"The enrollment and initial stages of getting started were seamless, and receiving the meds in the mail is incredibly convenient. I've had multiple chats with my Winona physician so far and she's been responsive, helpful, and knowledgeable. I'm 10 weeks in, feeling an improvement in my symptoms, and I'm thrilled that I made the decision to do this.",13 July 2023,,,,0.2833333333333334,0.0
2024-09-12 19:31:10,Info for Tracy,Tracy,US,Verified,Life changing!,5.0,2023-05-17T17:13:44.000Z,"I am currently 47 and started menopause early at the age of 39. In the last 3 years I have struggled with constant and severe hot flashes to the point it would take my breath away, night sweats that would have me changing pjs sometimes twice, weird body odor I had never had before, vaginal dryness, loss of libido, and pretty major mood swings. I started HRT 10 weeks ago and every one of these symptoms have improved dramatically! I’m sleeping better, I don’t feel like a crazy person in a constant fog, and seldom have a hot flash now, but best of all my husband and I have a renewed sex life! I am now off all other meds for depression and anxiety and finally feel like myself again! My only regret is not starting sooner! I know HRT isn’t for everyone, but it has been life changing for me! Talk to Dr Green and ask all the questions! He responds fairly quickly, is extremely knowledgeable, and will help you find what works best for you! And I love having it delivered right to my door!",17 May 2023,,,,0.12205762987012987,0.0
2024-09-12 19:31:13,Info for Jamie,Jamie,US,Verified,I felt listened to for the first time…,5.0,2023-05-06T05:37:33.000Z,I felt listened to for the first time in years by my By Winona doctor.  I’m slowly getting back to feeling like myself…10 weeks and my hot flashes are 90% better and I don’t get them at all in the night.  I’m so glad I did this.,29 April 2023,,,,0.19999999999999998,0.0
2024-09-12 19:31:15,Info for Tracy,Tracy,US,Verified,I just started HRT 10 weeks ago through…,5.0,2023-04-26T18:42:06.000Z,"I just started HRT 10 weeks ago through Winona.  Although, we are currently adjusting my dose, my experience with staff and the doctor has been wonderful. I truly feel like they care and have seen improvement with my symptoms as well.  I believe with dose adjustment I will continue to see improvements.",26 April 2023,,,,0.5,0.0
2024-09-12 19:31:15,Info for Kristall,Kristall,US,Verified,10 weeks in and feeling so much better,5.0,2023-04-16T18:07:53.000Z,10 weeks in and feeling so much better! No more hot flashes.  Definitely feeling more energetic and alive.,14 April 2023,,,,0.24642857142857144,0.0
2024-09-12 19:31:24,Info for Rachell,Rachell,US,Verified,Worth trying!,5.0,2023-02-03T14:19:47.000Z,I have been using Winona for 10 weeks now. I have had a significant decrease in hot flashes since starting. Would definitely recommend to anyone who is perimenopausal and looking for relief.,03 February 2023,,,,0.15625,0.0
2024-09-12 19:31:25,Info for Lopes,Lopes,US,Verified,Like most women I was nervous and yet…,5.0,2023-01-16T21:45:20.000Z,Like most women I was nervous and yet wanted to find a healthy solution for my body. Winona has been a very real and easy solution. The delivery of products and the communication and support from the Facebook community has made my first 10 weeks a positive experience.,16 January 2023,,,,0.36176767676767674,0.0
2024-09-12 19:31:30,Info for Carol,Carol,US,Verified,"It's been a long road, but finally some relief",5.0,2022-12-16T19:36:42.000Z,"Winona has truly been amazing.  I started perimenopausal symptoms at 45. Weight gain, mood swings, depression, and really not feeling like myself.  I talked to my doctor and searched the internet trying to find relief. I just didn't believe what everyone was telling me that I should just live with how I was feeling, that it was just going to get worse and heard over and over again ""It's how everyone goes through menopause"".Then I found Winona.  These products work. As soon as I started applying the cream, it was instant relief of the night sweats and I found I could sleep again through the night. In a few weeks, I started seeing my mood shift and just recently I feel the bloating and weight gain finally starting to subside.  I've been on the products for a little over 10 weeks and I am so happy I found them.  They are truly a lifesaver for me. I am feeling more and more like my old self and so many people notice the shift in my mood. I don't feel bloated or have the blahs anymore. I feel like me before menopause and I'm starting to see so much more energy.  If you're on the fence, I say give it a try.  I was very skeptical but went for it. I am so glad I did.",16 December 2022,,,,0.14438131313131314,0.0
2024-09-12 19:31:30,Info for KM,KM,US,Verified,Saved me from hot flashes and night sweats!,5.0,2022-12-14T18:20:44.000Z,"When my periord started to become less regular I started to notice I was getting hot flashes and night sweats due to my decreased estrogen and progesterone levels. I found Winona on FB or Instagram and did the test. They sent me the 50/50 Est/Prog cream and DHEA pills. I started noticing decreased hot flashes and night sweats within the first month. I have been taking both daily now for 10 weeks and no hot flashes or night sweats. These have been the only symptons of pre-menopause for me and I hope that continues. So far so good! I even recommended to my girlfriend, so we'll see how things go for her too. I highly recomment Winona. Wish it was covered under insurance though...",14 December 2022,,,,0.04773809523809524,0.0
2024-09-12 19:31:31,Info for Christine,Christine,GB,Verified,Winona has changed my life,5.0,2022-12-07T04:14:58.000Z,"Winona has changed my life, my outlook, and my level of happiness overall!  Ten weeks into the treatment regimen has exceeded my expectations.  My emotions are on a more even keel, I am sleeping better than I have since my 20s, and I just feel great! I love the ease of interaction with my doctor and I feel confident in reaching out to her.",05 December 2022,,,,0.4625,0.0
2024-09-12 19:31:32,Info for AMY GELTNER,AMY GELTNER,US,Verified,Skeptic turned believer,5.0,2022-12-01T15:00:57.000Z,"I was skeptical at first, but it was an easy process to get and worth a shot since nothing else worked.  The first dose (2 pumps of cream and 1 DHEA for first 10 weeks) definitely helped with my sleep, mood, energy, and libido. The only con was a little more acne, but nothing I couldn't control. But the second dose (increased cream and same DHEA) wow. That is when inflammation finally seemed to go down and I started feeling some weight loss relief.",01 December 2022,,,,0.08268518518518521,0.0
2024-09-12 19:31:36,Info for Dawn,Dawn,US,Verified,Did This Thing Online,5.0,2022-10-04T14:36:22.000Z,"10 weeks or so ago, I was at the end of my patience with my body. I felt like I was trapped in a stranger’s body. Poor sleep, dry skin, joints that hurt all the time, packed on 20+ pounds in less than a year  and NO sex drive. The worst was the sex drive. It hurt my heart because my husband and I had always shared this beautiful, intimate physical love that mirrored our feelings for each other. Conceptually, I wanted sex, but it was just too much effort  suddenly. I also had began to hate my body, the body that had weathered so much and given life to 3 children. The one I should have been proud of. I had doctors’ say, “Yep, menopause sucks,” and “deal with it.” There seemed to be no hope.So I took a risk. Did this thing online. Took a quiz. Corresponded with a doctor and got some meds from Winona. The process was easy. The service was great. I feel that I am in control now and have choices.I have more energy, I feel better. I am starting to recognize this 56 year old body again. It will be a long journey back to my desired shape. I’d say sleep has improved, but the newly found desire for intimacy is keeping us both up for hours at night! Guess I need to learn how to take naps!",04 October 2022,,,,0.08752272727272727,0.0
2024-09-12 19:31:38,Info for Anita,Anita,US,Verified,Work in progress!,5.0,2022-09-08T05:14:51.000Z,"I've really enjoyed the experience with Winona. The communication has been very good and any questions I had were answered right away. I can tell a difference with some symptoms but I do still have slight mood swings and occasional night sweats. After my first 10 weeks, the Dr contacted me and adjusted my prescription with the hormone lotion and I am excited to continue my path to feeling normal again!",08 September 2022,,,,0.29269345238095235,0.0
2024-09-12 19:31:40,Info for Fern Hoffman,Fern Hoffman,US,Verified,Wish I had found them sooner!,5.0,2022-08-12T13:53:07.000Z,Very user friendly questionnaire enables the doctor to work to address your specific symptoms. Medication is delivered rapidly. There is a follow up to make sure the prescription is helping and there are no side effects. Support is available  thereafter. A follow up with the doctor occurs 10 weeks after. Prescription is automatically refilled. Very easy and stress free. I feel so much relief from my symptoms. No need to keep suffering theu this when help is available,12 August 2022,,,,0.3375925925925926,0.0
2024-09-12 19:31:46,Info for Mary Morgan,Mary Morgan,US,,Winona has been life changing,5.0,2022-07-03T12:11:34.000Z,Winona has been life changing. I have been on it for 10 weeks now and I am delighted. In the first 3 weeks my hot flashes have gone from 10+ a night to my sleeping through the night. Waking up refreshed really puts your day right. My meno belly is finally going down now and I feel so much better in my clothes. I like that you have a real OBGYN Looking after you. If this is not safe for your medical history the Dr will not prescribe it. Give it a try. If you’re like me you’ve tried everything else.,03 July 2022,,,,0.18001443001443002,0.0
2024-09-12 19:31:46,Info for Toni L.,Toni L.,US,,I have diligently been using the HRT…,5.0,2022-06-28T16:57:54.000Z,"I have diligently been using the HRT cream from Winona each night for around 10 weeks as well as the DHEA supplement each morning. I have without a doubt experienced more sustained energy throughout the day and feel that my recovery time from intense workouts has shortened. I am a work hard-play hard woman and prior to taking Winona felt extremely tired by 4:00 or 5:00pm, I now keep going easily until 9:00pm. I look forward to continued use and seeing even more results with my overall health and well-being.",28 June 2022,,,,0.19351851851851853,0.0
2024-09-12 19:31:46,Info for Michele M,Michele M,US,,Hello,5.0,2022-06-21T19:29:21.000Z,"Hello! I just wanted to hop on and give my experience taking the oral estrogen and DHEA and the awesome Dr Davis! I was hesitant to start this program since I am post menopausal since age 30 (I’m 59 now), thinking it probably wouldn’t help with my symptoms (night sweats, hair loss, low libido, etc) but I have to say, after being on the meds for almost 10 weeks now, I do feel better, my sleep has improved, and even my libido is a little better. Yay! Dr Davis has been very quick to respond to any questions and I feel comfortable with him following my care ( and I’m a retired nurse, so I know how some docs can be). Anyway, I would encourage anyone to try the program… it’s working for me!",21 June 2022,,,,0.3463541666666667,0.0
2024-09-12 19:31:47,Info for Janet Coors,Janet Coors,US,,Game changer!!,5.0,2022-06-12T22:40:42.000Z,"To date, my experience with Winona has been amazing. It begins with a health assessment that is sent to an MD upon completion. Within 24 hours, a doctor was assigned to my case and he sent me a message introducing himself along with his recommendations to treat my symptoms. About 10 days later I received my new prescription in the mail and less than two weeks later there was a noticeable improvement. Here I am 10 weeks later and the the symptoms are so mild that I barely notice them. I just had my follow up and all is well. If you're on the fence, fill out the questionnaire. Run, don't walk...the folks at Winona are ready to help!!",12 June 2022,,,,0.14061447811447814,0.0
2024-09-12 19:31:49,Info for Michelle,Michelle,US,,No regrets!,5.0,2022-03-20T02:47:29.000Z,"I started using Winona cream BHRT ten weeks ago and am so glad I did.  The convenience, privacy and ease of using Winona’s services are amazing. The price point is reasonable and customer service is top notch.  The difference I’ve experienced since starting with Winona—no more hot flashes, better mood, increased energy…and starting to be easier to drop some lbs. I’ve got absolutely no regrets about my choice to try Winona.",20 March 2022,,,,0.325,0.0
2024-09-12 19:31:49,Info for Mel,Mel,US,,Winona really works!!,5.0,2022-03-16T18:38:14.000Z,Winona has been amazing so far. I saw it on instagram and thought I would give it a try to help with weight loss and to help with my occasional moodiness. lol I am feeling better and dropping a few pounds! Not peri or menopausal yet but may be in a couple years so I am checking this out. Just 10 weeks in so we will see if things continue to be great. Love Dr. Green and all the customer service people! Can't believe how easy its been getting started.,16 March 2022,,,,0.32333333333333336,0.0
2024-09-12 19:31:50,Info for Stacey Rene’,Stacey Rene’,US,,HRT CHANGED MY LIFE:  I am 54 years old and have been going…,5.0,2022-03-06T13:13:09.000Z,"I am 54 years old and have been going through menopausal symptoms for years. I tried everything from natural based capsules to Prescription medication.  I knew my body was changing and my moods were even being effected.  I started to research HRT and came across By Winona. I was skeptical due to not really knowing anything about HRT.  I talked to Dr Green and asked lots of questions, he was very quick to respond back in explaining how HRT works.  I started on the medication he prescribed, after about 4 weeks I started noticing changes in how I was feeling and even loosing a few pounds which I have not been able to do in 5 years. I felt like I was stuck on the same weight no matter what I did. My hot flashes definitely started to resolve. My sleeping patterns changed for the better. I am now at 10 weeks and feel like a new woman.  My boyfriend even noticed changes in my body.  My moods are so much better.  I can not say enough about By Winona.  Thank you Dr Green and all your staff. Stacey Rene’",06 March 2022,,,,0.06637205387205386,0.0
